favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
New England Patriots,16.0,17.0,17.0,1,1,0.75,,,,,,,,,
New Orleans Saints,15.0,14.0,-14.0,0,1,0.75,,,,,,,,,
Green Bay Packers,14.0,13.5,-13.5,0,1,0.75,,,,,,,,,
Dallas Cowboys,13.0,12.5,12.5,1,1,0.4375,2.0,2.0,1.0,0.8411111111111109,0.8117171717171718,0.18828282828282816,12.5,12.5,0.5
Kansas City Chiefs,12.0,10.0,10.0,1,1,0.6875,9.0,8.0,0.8888888888888888,0.7243317793317793,0.7354558967602447,0.2645441032397553,10.0,10.0,0.5
Tennessee Titans,11.0,9.5,-9.5,0,1,0.5,6.0,0.0,0.0,,,,9.5,-9.5,
Los Angeles Rams,10.0,7.0,7.0,1,1,0.5,39.0,29.0,0.7435897435897436,0.7114882943143813,0.6960249428510301,0.30397505714896994,7.0,7.0,0.5
Indianapolis Colts,9.0,5.5,-5.5,0,1,0.4375,12.0,3.0,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
Chicago Bears,8.0,5.0,-5.0,0,1,0.4375,6.0,2.0,0.3333333333333333,0.28234126984126984,0.2546236171236172,0.7453763828763829,5.0,-5.0,0.5
Denver Broncos,7.0,4.5,4.5,1,1,0.375,24.0,18.0,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
San Francisco 49ers,6.0,3.5,-3.5,0,1,0.75,24.0,8.0,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Philadelphia Eagles,5.0,3.5,-3.5,0,1,0.5,24.0,8.0,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Cleveland Browns,4.0,2.5,-2.5,0,1,0.375,33.0,18.0,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Pittsburgh Steelers,3.0,1.5,-1.5,0,1,0.5,10.0,6.0,0.6,0.42929482797903856,0.4016291359712414,0.5983708640287586,1.5,-1.5,0.5
Tampa Bay Buccaneers,2.0,1.0,1.0,1,1,0.4375,19.0,9.0,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
New York Jets,1.0,1.0,-1.0,0,1,0.375,25.0,10.0,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
