favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Minnesota Vikings,16.0,14.0,14.0,1,1,0.6153846153846154,6,6,1.0,0.8688888888888886,,,14.0,14.0,
Green Bay Packers,15.0,13.0,13.0,1,0,0.6923076923076923,3,2,0.6666666666666666,0.8522222222222221,0.8337373737373738,0.16626262626262622,13.0,13.0,0.5
Houston Texans,14.0,9.5,9.5,1,0,0.6153846153846154,11,6,0.5454545454545454,0.7186907536907536,0.7304261680348638,0.2695738319651362,9.5,9.5,0.5
Philadelphia Eagles,13.0,8.5,8.5,1,1,0.38461538461538464,4,2,0.5,0.7315893044153914,0.7202359154533068,0.2797640845466932,8.5,8.5,0.5
Cleveland Browns,12.0,8.5,8.5,1,1,0.38461538461538464,4,2,0.5,0.7315893044153914,0.7202359154533068,0.2797640845466932,8.5,8.5,0.5
New York Jets,11.0,5.5,5.5,1,1,0.3076923076923077,24,14,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Baltimore Ravens,10.0,5.5,-5.5,0,0,0.7692307692307693,12,3,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
New Orleans Saints,9.0,3.0,3.0,1,0,0.7692307692307693,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
New England Patriots,8.0,3.0,3.0,1,0,0.7692307692307693,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Tampa Bay Buccaneers,7.0,3.0,3.0,1,0,0.38461538461538464,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Dallas Cowboys,6.0,3.0,-3.0,0,0,0.46153846153846156,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Los Angeles Chargers,5.0,3.0,-3.0,0,0,0.3076923076923077,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Atlanta Falcons,4.0,2.5,2.5,1,1,0.23076923076923078,42,21,0.5,0.5132534249376356,0.5172007553849661,0.4827992446150339,2.5,2.5,0.5
Seattle Seahawks,3.0,2.5,-2.5,0,1,0.7692307692307693,33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Tennessee Titans,2.0,2.5,-2.5,0,0,0.5384615384615384,33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Pittsburgh Steelers,1.0,2.5,-2.5,0,0,0.5384615384615384,33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
