gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
17,New England Patriots,0.9450015117769964,16.0,New England Patriots,16.0,17.0
17,Green Bay Packers,0.9049672784112801,15.0,Green Bay Packers,14.0,-13.5
17,Dallas Cowboys,0.8930098311032774,14.0,Dallas Cowboys,13.0,12.5
17,New Orleans Saints,0.8883630877929456,13.0,New Orleans Saints,15.0,-14.0
17,Kansas City Chiefs,0.866633588394961,12.0,Kansas City Chiefs,12.0,10.0
17,Los Angeles Rams,0.8090654418732764,11.0,Los Angeles Rams,10.0,7.0
17,Denver Broncos,0.7085752046240281,10.0,Denver Broncos,7.0,4.5
17,Indianapolis Colts,0.7037952503271916,9.0,Indianapolis Colts,9.0,-5.5
17,Tennessee Titans,0.6997199828043389,8.0,Tennessee Titans,11.0,-9.5
17,Cleveland Browns,0.6996167531589929,7.0,Cleveland Browns,4.0,-2.5
17,Philadelphia Eagles,0.6929881110130246,6.0,Philadelphia Eagles,5.0,-3.5
17,Tampa Bay Buccaneers,0.6552257631493495,5.0,Tampa Bay Buccaneers,2.0,1.0
17,San Francisco 49ers,0.6030852011623774,4.0,San Francisco 49ers,6.0,-3.5
17,Chicago Bears,0.5773653134987111,3.0,Chicago Bears,8.0,-5.0
17,Buffalo Bills,0.4709476813009964,2.0,New York Jets,1.0,-1.0
17,Baltimore Ravens,0.43165041078694355,1.0,Pittsburgh Steelers,3.0,-1.5
