favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
San Francisco 49ers,16.0,11.5,11.5,1,1,0.8,3,1,0.3333333333333333,0.7756565656565655,0.7688092463092464,0.2311907536907536,11.5,11.5,0.5
Minnesota Vikings,15.0,10.5,10.5,1,0,0.7,6,5,0.8333333333333334,0.7393317793317793,0.7428004403004405,0.25719955969955954,10.5,10.5,0.5
Oakland Raiders,14.0,10.5,10.5,1,0,0.5,6,5,0.8333333333333334,0.7393317793317793,0.7428004403004405,0.25719955969955954,10.5,10.5,0.5
Los Angeles Rams,13.0,6.5,6.5,1,0,0.5,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Carolina Panthers,12.0,6.0,6.0,1,1,0.5,23,16,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
New Orleans Saints,11.0,5.5,-5.5,0,1,0.7,12,3,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
Buffalo Bills,10.0,5.5,-5.5,0,1,0.6,12,3,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
Dallas Cowboys,9.0,4.5,-4.5,0,0,0.5,6,0,0.0,0.3146645021645021,0.2902489177489178,0.7097510822510822,4.5,-4.5,0.5
Baltimore Ravens,8.0,4.0,4.0,1,0,0.7,25,13,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
Kansas City Chiefs,7.0,3.5,-3.5,0,1,0.6,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
New England Patriots,6.0,3.5,-3.5,0,0,0.8,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Indianapolis Colts,5.0,3.0,3.0,1,1,0.5,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Cleveland Browns,4.0,2.5,2.5,1,1,0.3,42,21,0.5,0.5132534249376356,0.5172007553849661,0.4827992446150339,2.5,2.5,0.5
Washington Redskins,3.0,1.0,1.0,1,0,0.1,19,9,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
