favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Seattle Seahawks,16.0,9.5,9.5,1,1,0.7333333333333333,11,6,0.5454545454545454,0.7186907536907536,0.7304261680348638,0.2695738319651362,9.5,9.5,0.5
Baltimore Ravens,15.0,7.0,-7.0,0,1,0.8,12,3,0.25,0.15734126984126987,0.1894246031746032,0.8105753968253968,7.0,-7.0,0.5
San Francisco 49ers,14.0,6.5,6.5,1,1,0.7333333333333333,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
New England Patriots,13.0,6.5,6.5,1,1,0.7333333333333333,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Los Angeles Chargers,12.0,6.5,6.5,1,1,0.3333333333333333,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Indianapolis Colts,11.0,6.5,6.5,1,0,0.4,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Denver Broncos,10.0,6.5,6.5,1,0,0.3333333333333333,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Atlanta Falcons,9.0,6.5,6.5,1,0,0.3333333333333333,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Minnesota Vikings,8.0,4.5,4.5,1,1,0.6666666666666666,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Kansas City Chiefs,7.0,4.0,-4.0,0,0,0.6666666666666666,8,4,0.5,0.3253787878787879,0.3179575517075517,0.6820424482924483,4.0,-4.0,0.5
Washington Redskins,6.0,3.0,3.0,1,1,0.2,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Miami Dolphins,5.0,3.0,3.0,1,0,0.2,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Pittsburgh Steelers,4.0,3.0,-3.0,0,0,0.5333333333333333,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Tampa Bay Buccaneers,3.0,1.0,1.0,1,0,0.4666666666666667,19,9,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
Dallas Cowboys,2.0,1.0,-1.0,0,1,0.4666666666666667,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
New Orleans Saints,1.0,1.0,-1.0,0,0,0.7333333333333333,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
