favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
New Orleans Saints,16.0,12.5,12.5,1,1,0.7777777777777778,2,2,1.0,0.8411111111111109,0.8117171717171718,0.18828282828282816,12.5,12.5,0.5
Indianapolis Colts,15.0,10.5,10.5,1,0,0.5555555555555556,6,5,0.8333333333333334,0.7393317793317793,0.7428004403004405,0.25719955969955954,10.5,10.5,0.5
Baltimore Ravens,14.0,10.0,-10.0,0,1,0.6666666666666666,2,1,0.5,,,,10.0,-10.0,
San Francisco 49ers,13.0,6.0,6.0,1,1,0.8888888888888888,23,16,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
Green Bay Packers,12.0,5.0,5.0,1,0,0.7777777777777778,15,11,0.7333333333333333,0.6536980845241716,0.639955883424991,0.360044116575009,5.0,5.0,0.5
Tampa Bay Buccaneers,11.0,4.5,4.5,1,0,0.2222222222222222,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Kansas City Chiefs,10.0,3.5,-3.5,0,0,0.6666666666666666,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Los Angeles Rams,9.0,3.5,-3.5,0,0,0.5555555555555556,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Chicago Bears,8.0,3.0,3.0,1,1,0.3333333333333333,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Dallas Cowboys,7.0,3.0,3.0,1,0,0.5555555555555556,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Cleveland Browns,6.0,3.0,3.0,1,0,0.2222222222222222,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
New York Giants,5.0,2.0,-2.0,0,0,0.2222222222222222,14,5,0.35714285714285715,0.38192640692640706,0.3895214361661731,0.6104785638338268,2.0,-2.0,0.5
Los Angeles Chargers,4.0,1.0,-1.0,0,1,0.4444444444444444,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
