favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Minnesota Vikings,16.0,16.0,16.0,1,0,0.7142857142857143,,,,,,,,,
Pittsburgh Steelers,15.0,14.5,14.5,1,0,0.2857142857142857,1.0,1.0,1.0,,,,14.5,14.5,
New England Patriots,14.0,13.0,13.0,1,0,1.0,3.0,2.0,0.6666666666666666,0.8522222222222221,0.8337373737373738,0.16626262626262622,13.0,13.0,0.5
Los Angeles Rams,13.0,13.0,13.0,1,0,0.5714285714285714,3.0,2.0,0.6666666666666666,0.8522222222222221,0.8337373737373738,0.16626262626262622,13.0,13.0,0.5
New Orleans Saints,12.0,9.5,9.5,1,0,0.8571428571428571,11.0,6.0,0.5454545454545454,0.7186907536907536,0.7304261680348638,0.2695738319651362,9.5,9.5,0.5
Detroit Lions,11.0,7.0,7.0,1,0,0.2857142857142857,39.0,29.0,0.7435897435897436,0.7114882943143813,0.6960249428510301,0.30397505714896994,7.0,7.0,0.5
Houston Texans,10.0,6.5,6.5,1,0,0.5714285714285714,30.0,23.0,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Seattle Seahawks,9.0,6.5,-6.5,0,0,0.7142857142857143,7.0,1.0,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
Indianapolis Colts,8.0,6.0,6.0,1,0,0.5714285714285714,23.0,16.0,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
Jacksonville Jaguars,7.0,6.0,6.0,1,0,0.42857142857142855,23.0,16.0,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
San Francisco 49ers,6.0,5.5,5.5,1,0,0.8571428571428571,24.0,14.0,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Green Bay Packers,5.0,4.5,-4.5,0,0,0.8571428571428571,6.0,0.0,0.0,0.3146645021645021,0.2902489177489178,0.7097510822510822,4.5,-4.5,0.5
Chicago Bears,4.0,4.0,4.0,1,0,0.42857142857142855,25.0,13.0,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
Tennessee Titans,3.0,2.5,2.5,1,0,0.42857142857142855,42.0,21.0,0.5,0.5132534249376356,0.5172007553849661,0.4827992446150339,2.5,2.5,0.5
Buffalo Bills,2.0,1.5,1.5,1,0,0.7142857142857143,15.0,8.0,0.5333333333333333,0.4862534249376355,0.4723627045469154,0.5276372954530846,1.5,1.5,0.5
