favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
Seattle Seahawks,16.0,10.5,10.5,1,0,0.0
Kansas City Chiefs,15.0,7.0,7.0,1,1,0.0
Houston Texans,14.0,6.5,6.5,1,0,0.0
Arizona Cardinals,13.0,6.0,6.0,1,0,0.0
Green Bay Packers,12.0,5.5,-5.5,0,0,0.0
Philadelphia Eagles,11.0,4.0,4.0,1,0,0.0
Indianapolis Colts,10.0,3.5,3.5,1,0,0.0
Atlanta Falcons,9.0,3.0,3.0,1,1,0.0
Baltimore Ravens,8.0,3.0,3.0,1,0,0.0
Pittsburgh Steelers,7.0,3.0,-3.0,0,0,0.0
Carolina Panthers,6.0,3.0,-3.0,0,0,0.0
Los Angeles Rams,5.0,2.5,-2.5,0,1,0.0
Cincinnati Bengals,4.0,2.5,-2.5,0,0,0.0
Minnesota Vikings,3.0,2.0,-2.0,0,0,0.0
New Orleans Saints,2.0,1.0,1.0,1,0,0.0
New York Giants,1.0,1.0,-1.0,0,1,0.0
