favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16.0,16.5,16.5,1,1,0.8
Seattle Seahawks,15.0,8.5,8.5,1,1,0.6
Dallas Cowboys,14.0,7.0,7.0,1,0,0.8
Green Bay Packers,13.0,6.5,6.5,1,1,0.533333333333
San Diego Chargers,12.0,6.0,-6.0,0,0,0.333333333333
Pittsburgh Steelers,11.0,5.0,5.0,1,1,0.6
Tennessee Titans,10.0,5.0,-5.0,0,1,0.533333333333
Kansas City Chiefs,9.0,4.0,4.0,1,1,0.666666666667
Buffalo Bills,8.0,3.5,3.5,1,1,0.466666666667
Los Angeles Rams,7.0,3.5,3.5,1,1,0.266666666667
Oakland Raiders,6.0,3.5,3.5,1,0,0.733333333333
Atlanta Falcons,5.0,3.5,-3.5,0,1,0.6
New Orleans Saints,4.0,3.0,3.0,1,1,0.4
Washington Redskins,3.0,3.0,-3.0,0,0,0.466666666667
New York Giants,2.0,2.5,-2.5,0,1,0.666666666667
Houston Texans,1.0,2.0,2.0,1,0,0.533333333333
