favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16,9,9,1,0,0.8
Buffalo Bills,15,8,8,1,0,0.6
Arizona Cardinals,14,8,8,1,0,0.4
Pittsburgh Steelers,13,7.5,-7.5,0,0,0.8
Tennessee Titans,12,7,7,1,0,0.4
Seattle Seahawks,11,6.5,6.5,1,0,0.6
Green Bay Packers,10,4,4,1,0,0.6
Detroit Lions,9,3.5,3.5,1,0,0.4
Denver Broncos,8,3.5,-3.5,0,1,0.8
Houston Texans,7,3,3,1,1,0.6
New York Giants,6,3,3,1,0,0.4
Carolina Panthers,5,3,-3,0,1,0.2
Chicago Bears,4,2.5,2.5,1,0,0.2
Philadelphia Eagles,3,2,-2,0,1,0.6
Oakland Raiders,2,1,1,1,1,0.8
