favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16.0,9.5,-9.5,0,1,0.8125
Seattle Seahawks,15.0,9.5,-9.5,0,1,0.5625
Washington Redskins,14.0,8.0,8.0,1,1,0.5
Atlanta Falcons,13.0,6.5,6.5,1,1,0.625
Pittsburgh Steelers,12.0,6.0,6.0,1,1,0.625
Tampa Bay Buccaneers,11.0,6.0,6.0,1,1,0.5
Arizona Cardinals,10.0,6.0,-6.0,0,1,0.375
Kansas City Chiefs,9.0,5.5,-5.5,0,1,0.6875
Minnesota Vikings,8.0,5.0,5.0,1,1,0.4375
Indianapolis Colts,7.0,4.5,4.5,1,1,0.4375
Philadelphia Eagles,6.0,4.0,4.0,1,1,0.375
Green Bay Packers,5.0,3.5,-3.5,0,1,0.5625
Buffalo Bills,4.0,3.5,-3.5,0,1,0.4375
Tennessee Titans,3.0,3.0,3.0,1,1,0.5
Cincinnati Bengals,2.0,2.5,2.5,1,1,0.3125
Denver Broncos,1.0,1.5,1.5,1,1,0.5
