favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Kansas City Chiefs,16.0,14.5,-14.5,0,1,0.75,,,,,,,,,
Green Bay Packers,15.0,14.0,14.0,1,0,0.3333333333333333,6.0,6.0,1.0,0.8688888888888886,,,14.0,14.0,
Seattle Seahawks,14.0,10.0,10.0,1,1,0.5,9.0,8.0,0.8888888888888888,0.7243317793317793,0.7354558967602447,0.2645441032397553,10.0,10.0,0.5
Los Angeles Rams,13.0,10.0,-10.0,0,0,0.8333333333333334,2.0,1.0,0.5,,,,10.0,-10.0,
Tennessee Titans,12.0,8.0,8.0,1,0,0.4166666666666667,13.0,9.0,0.6923076923076923,0.7065893044153915,0.7143688388905781,0.2856311611094219,8.0,8.0,0.5
New Orleans Saints,11.0,7.0,-7.0,0,0,0.8333333333333334,12.0,3.0,0.25,0.15734126984126987,0.1894246031746032,0.8105753968253968,7.0,-7.0,0.5
Philadelphia Eagles,10.0,6.5,6.5,1,1,0.4166666666666667,30.0,23.0,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Houston Texans,9.0,6.0,6.0,1,0,0.6666666666666666,23.0,16.0,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
New England Patriots,8.0,5.0,5.0,1,0,0.6666666666666666,15.0,11.0,0.7333333333333333,0.6536980845241716,0.639955883424991,0.360044116575009,5.0,5.0,0.5
Denver Broncos,7.0,5.0,-5.0,0,0,0.4166666666666667,6.0,2.0,0.3333333333333333,0.28234126984126984,0.2546236171236172,0.7453763828763829,5.0,-5.0,0.5
Miami Dolphins,6.0,4.0,4.0,1,1,0.4166666666666667,25.0,13.0,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
Indianapolis Colts,5.0,4.0,-4.0,0,1,0.5,8.0,4.0,0.5,0.3253787878787879,0.3179575517075517,0.6820424482924483,4.0,-4.0,0.5
Chicago Bears,4.0,4.0,-4.0,0,0,0.6666666666666666,8.0,4.0,0.5,0.3253787878787879,0.3179575517075517,0.6820424482924483,4.0,-4.0,0.5
Pittsburgh Steelers,3.0,3.5,3.5,1,0,0.5833333333333334,44.0,27.0,0.6136363636363636,0.5782534249376355,0.5634301348283044,0.4365698651716956,3.5,3.5,0.5
Carolina Panthers,2.0,3.5,-3.5,0,1,0.5,24.0,8.0,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Atlanta Falcons,1.0,1.5,1.5,1,0,0.3333333333333333,15.0,8.0,0.5333333333333333,0.4862534249376355,0.4723627045469154,0.5276372954530846,1.5,1.5,0.5
