favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Pittsburgh Steelers,16.0,14.5,14.5,1,1,0.5,1,1,1.0,,,,14.5,14.5,
Kansas City Chiefs,15.0,13.5,13.5,1,1,0.6875,9,8,0.8888888888888888,0.8688888888888886,,,13.5,13.5,
New England Patriots,14.0,13.5,13.5,1,1,0.625,9,8,0.8888888888888888,0.8688888888888886,,,13.5,13.5,
Seattle Seahawks,13.0,13.5,13.5,1,1,0.5625,9,8,0.8888888888888888,0.8688888888888886,,,13.5,13.5,
Los Angeles Rams,12.0,10.0,10.0,1,1,0.75,9,8,0.8888888888888888,0.7243317793317793,0.7354558967602447,0.2645441032397553,10.0,10.0,0.5
Green Bay Packers,11.0,8.0,8.0,1,1,0.375,13,9,0.6923076923076923,0.7065893044153915,0.7143688388905781,0.2856311611094219,8.0,8.0,0.5
New Orleans Saints,10.0,7.5,7.5,1,1,0.8125,20,17,0.85,0.6910337488598358,0.7031734794995667,0.2968265205004333,7.5,7.5,0.5
Houston Texans,9.0,6.5,6.5,1,1,0.625,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Los Angeles Chargers,8.0,6.5,-6.5,0,1,0.6875,7,1,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
Philadelphia Eagles,7.0,6.5,-6.5,0,1,0.5,7,1,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
New York Giants,6.0,6.0,6.0,1,1,0.3125,23,16,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
Baltimore Ravens,5.0,5.5,5.5,1,1,0.5625,24,14,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Minnesota Vikings,4.0,4.5,4.5,1,1,0.5,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Buffalo Bills,3.0,4.0,4.0,1,1,0.3125,25,13,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
Indianapolis Colts,2.0,3.0,-3.0,0,1,0.5625,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Atlanta Falcons,1.0,1.0,-1.0,0,1,0.375,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
