favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Baltimore Ravens,16.0,13.0,-13.0,0,0,0.6666666666666666,1,0,0.0,,,,13.0,-13.0,
Los Angeles Rams,15.0,12.0,12.0,1,0,0.6666666666666666,5,4,0.8,0.7956565656565655,0.7901243201243203,0.20987567987567968,12.0,12.0,0.5
Green Bay Packers,14.0,7.5,7.5,1,0,1.0,20,17,0.85,0.6910337488598358,0.7031734794995667,0.2968265205004333,7.5,7.5,0.5
Kansas City Chiefs,13.0,7.0,7.0,1,0,1.0,39,29,0.7435897435897436,0.7114882943143813,0.6960249428510301,0.30397505714896994,7.0,7.0,0.5
Tampa Bay Buccaneers,12.0,7.0,7.0,1,0,0.6666666666666666,39,29,0.7435897435897436,0.7114882943143813,0.6960249428510301,0.30397505714896994,7.0,7.0,0.5
San Francisco 49ers,11.0,6.5,6.5,1,0,0.6666666666666666,30,23,0.7666666666666667,0.6834882943143814,0.6872097395358265,0.31279026046417346,6.5,6.5,0.5
Seattle Seahawks,10.0,6.5,-6.5,0,0,1.0,7,1,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
Dallas Cowboys,9.0,4.5,4.5,1,0,0.3333333333333333,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Houston Texans,8.0,4.5,4.5,1,0,0.0,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
New Orleans Saints,7.0,4.0,-4.0,0,0,0.3333333333333333,8,4,0.5,0.3253787878787879,0.3179575517075517,0.6820424482924483,4.0,-4.0,0.5
Arizona Cardinals,6.0,3.5,-3.5,0,0,0.6666666666666666,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Cincinnati Bengals,5.0,3.0,3.0,1,0,0.0,65,41,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Pittsburgh Steelers,4.0,2.5,-2.5,0,0,1.0,33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Buffalo Bills,3.0,2.5,-2.5,0,0,1.0,33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Indianapolis Colts,2.0,2.5,-2.5,0,0,0.6666666666666666,33,18,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Denver Broncos,1.0,1.0,-1.0,0,0,0.0,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
