favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Indianapolis Colts,16.0,14.0,14.0,1,1,0.625,6.0,6.0,1.0,0.8688888888888886,,,14.0,14.0,
Baltimore Ravens,15.0,12.0,-12.0,0,1,0.625,,,,,,,,,
Cleveland Browns,14.0,9.0,9.0,1,1,0.625,15.0,12.0,0.8,0.7620240870240871,0.7223764962895398,0.2776235037104602,9.0,9.0,0.5
Tennessee Titans,13.0,7.5,-7.5,0,1,0.625,9.0,2.0,0.2222222222222222,0.1740079365079365,0.19440476190476194,0.8055952380952379,7.5,-7.5,0.5
Tampa Bay Buccaneers,12.0,7.0,7.0,1,1,0.625,39.0,29.0,0.7435897435897436,0.7114882943143813,0.6960249428510301,0.30397505714896994,7.0,7.0,0.5
Seattle Seahawks,11.0,6.5,-6.5,0,1,0.6875,7.0,1.0,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
New Orleans Saints,10.0,6.5,-6.5,0,1,0.6875,7.0,1.0,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
Minnesota Vikings,9.0,6.5,-6.5,0,1,0.375,7.0,1.0,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
Green Bay Packers,8.0,5.5,-5.5,0,1,0.75,12.0,3.0,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
Los Angeles Chargers,7.0,3.5,-3.5,0,1,0.4375,24.0,8.0,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Buffalo Bills,6.0,3.0,3.0,1,1,0.75,65.0,41.0,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
New England Patriots,5.0,3.0,3.0,1,1,0.375,65.0,41.0,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Arizona Cardinals,4.0,3.0,-3.0,0,1,0.5,60.0,25.0,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Las Vegas Raiders,3.0,2.5,-2.5,0,1,0.4375,33.0,18.0,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Washington Football Team,2.0,2.0,-2.0,0,1,0.375,14.0,5.0,0.35714285714285715,0.38192640692640706,0.3895214361661731,0.6104785638338268,2.0,-2.0,0.5
Dallas Cowboys,1.0,1.5,-1.5,0,1,0.375,10.0,6.0,0.6,0.42929482797903856,0.4016291359712414,0.5983708640287586,1.5,-1.5,0.5
