favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Pittsburgh Steelers,16.0,13.5,-13.5,0,0,0.875,,,,,,,,,
Kansas City Chiefs,15.0,10.5,10.5,1,0,0.875,6.0,5.0,0.8333333333333334,0.7393317793317793,0.7428004403004405,0.25719955969955954,10.5,10.5,0.5
New England Patriots,14.0,7.5,-7.5,0,1,0.25,9.0,2.0,0.2222222222222222,0.1740079365079365,0.19440476190476194,0.8055952380952379,7.5,-7.5,0.5
Houston Texans,13.0,6.5,-6.5,0,1,0.125,7.0,1.0,0.14285714285714285,0.15734126984126987,0.18761904761904769,0.8123809523809523,6.5,-6.5,0.5
Tampa Bay Buccaneers,12.0,5.5,5.5,1,1,0.75,24.0,14.0,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Tennessee Titans,11.0,5.5,5.5,1,0,0.625,24.0,14.0,0.5833333333333334,0.6886980845241715,0.6574950283211153,0.3425049716788847,5.5,5.5,0.5
Green Bay Packers,10.0,5.5,-5.5,0,0,0.625,12.0,3.0,0.25,0.2406746031746032,0.2266173641173642,0.7733826358826358,5.5,-5.5,0.5
Arizona Cardinals,9.0,4.5,4.5,1,0,0.625,24.0,18.0,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Minnesota Vikings,8.0,4.0,4.0,1,1,0.25,25.0,13.0,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
Atlanta Falcons,7.0,4.0,4.0,1,0,0.25,25.0,13.0,0.52,0.6004502212763083,0.5926709114260603,0.4073290885739397,4.0,4.0,0.5
Washington Football Team,6.0,3.0,3.0,1,1,0.25,65.0,41.0,0.6307692307692307,0.5865867582709691,0.5405084465496367,0.4594915534503633,3.0,3.0,0.5
Seattle Seahawks,5.0,2.5,-2.5,0,0,0.75,33.0,18.0,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Baltimore Ravens,4.0,2.5,-2.5,0,0,0.625,33.0,18.0,0.5454545454545454,0.3485930735930737,0.3716465405939091,0.6283534594060909,2.5,-2.5,0.5
Las Vegas Raiders,3.0,1.0,-1.0,0,1,0.5,25.0,10.0,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
