favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord,len,sum,pct,pct_smooth,pct_smooth2,pct_smooth2_inv,abs_line,line,pct_smooth_avg
Buffalo Bills,16.0,13.0,-13.0,0,1,0.6666666666666666,1,0,0.0,,,,13.0,-13.0,
Kansas City Chiefs,15.0,9.5,-9.5,0,1,0.8333333333333334,6,0,0.0,,,,9.5,-9.5,
Los Angeles Chargers,14.0,8.0,8.0,1,0,0.3333333333333333,13,9,0.6923076923076923,0.7065893044153915,0.7143688388905781,0.2856311611094219,8.0,8.0,0.5
New Orleans Saints,13.0,7.5,7.5,1,1,0.5,20,17,0.85,0.6910337488598358,0.7031734794995667,0.2968265205004333,7.5,7.5,0.5
Los Angeles Rams,12.0,6.0,6.0,1,0,0.5,23,16,0.6956521739130435,0.6948519306780178,0.6760013738274608,0.3239986261725392,6.0,6.0,0.5
Philadelphia Eagles,11.0,4.5,4.5,1,1,0.16666666666666666,24,18,0.75,0.6237835546096416,0.6219116880238162,0.37808831197618376,4.5,4.5,0.5
Seattle Seahawks,10.0,3.5,-3.5,0,1,0.8333333333333334,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Cleveland Browns,9.0,3.5,-3.5,0,1,0.6666666666666666,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Green Bay Packers,8.0,3.5,-3.5,0,0,0.6666666666666666,24,8,0.3333333333333333,0.3710930735930736,0.33594396344396343,0.6640560365560366,3.5,-3.5,0.5
Tampa Bay Buccaneers,7.0,3.0,-3.0,0,0,0.6666666666666666,60,25,0.4166666666666667,0.3735930735930736,0.35254148629148635,0.6474585137085136,3.0,-3.0,0.5
Atlanta Falcons,6.0,2.5,2.5,1,0,0.16666666666666666,42,21,0.5,0.5132534249376356,0.5172007553849661,0.4827992446150339,2.5,2.5,0.5
New England Patriots,5.0,2.0,2.0,1,0,0.3333333333333333,9,4,0.4444444444444444,0.4782534249376356,0.4961706188548296,0.5038293811451704,2.0,2.0,0.5
Tennessee Titans,4.0,1.0,1.0,1,0,0.8333333333333334,19,9,0.4736842105263158,0.4606040742882849,0.4589251606093714,0.5410748393906286,1.0,1.0,0.5
Dallas Cowboys,3.0,1.0,-1.0,0,1,0.3333333333333333,25,10,0.4,0.4326281613123719,0.4147090579985319,0.585290942001468,1.0,-1.0,0.5
