gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
1,New Orleans Saints,0.722164606306,16.0,New Orleans Saints,16.0,9.5
1,New England Patriots,0.705500586698,15.0,New England Patriots,13.0,6.5
1,Minnesota Vikings,0.696309599955,14.0,Minnesota Vikings,11.0,6.0
1,Baltimore Ravens,0.678392268161,13.0,Baltimore Ravens,14.0,7.0
1,Detroit Lions,0.671882759941,12.0,Detroit Lions,12.0,6.5
1,Green Bay Packers,0.655696342743,11.0,Green Bay Packers,15.0,7.5
1,Philadelphia Eagles,0.633318252173,10.0,Philadelphia Eagles,5.0,2.5
1,Carolina Panthers,0.61575317886,9.0,Carolina Panthers,3.0,2.5
1,Pittsburgh Steelers,0.604460651071,8.0,Pittsburgh Steelers,10.0,-5.5
1,Los Angeles Chargers,0.588444282755,7.0,Los Angeles Chargers,8.0,3.0
1,Los Angeles Rams,0.581249232778,6.0,Los Angeles Rams,9.0,-4.5
1,Indianapolis Colts,0.560928563523,5.0,Indianapolis Colts,7.0,3.0
1,Denver Broncos,0.559646051543,4.0,Denver Broncos,4.0,2.5
1,Jacksonville Jaguars,0.544625115896,3.0,Jacksonville Jaguars,6.0,-3.0
1,Arizona Cardinals,0.543036425288,2.0,Arizona Cardinals,1.0,0.1
1,Tennessee Titans,0.513748614488,1.0,Tennessee Titans,2.0,-2.0
