favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New Orleans Saints,16.0,15.5,15.5,1,0,0.642857142857
Jacksonville Jaguars,15.0,11.0,11.0,1,1,0.642857142857
Minnesota Vikings,14.0,10.5,10.5,1,0,0.714285714286
Philadelphia Eagles,13.0,7.5,-7.5,0,1,0.785714285714
Baltimore Ravens,12.0,7.0,-7.0,0,1,0.5
Atlanta Falcons,11.0,6.0,-6.0,0,1,0.571428571429
Detroit Lions,10.0,5.5,5.5,1,1,0.5
Washington Redskins,9.0,4.5,4.5,1,0,0.357142857143
Buffalo Bills,8.0,3.5,3.5,1,1,0.5
Carolina Panthers,7.0,3.0,3.0,1,0,0.642857142857
New England Patriots,6.0,3.0,-3.0,0,0,0.714285714286
Dallas Cowboys,5.0,3.0,-3.0,0,0,0.5
Seattle Seahawks,4.0,2.5,2.5,1,1,0.571428571429
Denver Broncos,3.0,2.5,-2.5,0,0,0.285714285714
San Francisco 49ers,2.0,2.0,2.0,1,0,0.214285714286
Los Angeles Chargers,1.0,1.0,-1.0,0,1,0.5
