favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16.0,15.5,15.5,1,1,0.75
Minnesota Vikings,15.0,12.0,12.0,1,1,0.75
Seattle Seahawks,14.0,9.5,9.5,1,1,0.5625
Baltimore Ravens,13.0,9.5,9.5,1,1,0.5625
Los Angeles Chargers,12.0,8.0,8.0,1,1,0.5
Pittsburgh Steelers,11.0,7.0,7.0,1,1,0.75
New Orleans Saints,10.0,7.0,-7.0,0,1,0.6875
Detroit Lions,9.0,6.5,6.5,1,1,0.5
Indianapolis Colts,8.0,5.0,5.0,1,1,0.1875
Atlanta Falcons,7.0,3.5,3.5,1,1,0.5625
Denver Broncos,6.0,3.5,3.5,1,1,0.3125
San Francisco 49ers,5.0,3.5,-3.5,0,1,0.3125
Tennessee Titans,4.0,3.0,3.0,1,1,0.5
Dallas Cowboys,3.0,3.0,-3.0,0,1,0.5
Washington Redskins,2.0,3.0,-3.0,0,1,0.4375
Buffalo Bills,1.0,2.5,-2.5,0,1,0.5
