favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16.0,16.5,16.5,1,1,0.727272727273
Pittsburgh Steelers,15.0,14.0,14.0,1,0,0.727272727273
Philadelphia Eagles,14.0,13.5,13.5,1,0,0.818181818182
Kansas City Chiefs,13.0,10.0,10.0,1,0,0.545454545455
Atlanta Falcons,12.0,9.5,9.5,1,1,0.545454545455
Cincinnati Bengals,11.0,8.0,8.0,1,1,0.363636363636
Washington Redskins,10.0,7.5,7.5,1,1,0.363636363636
Baltimore Ravens,9.0,7.0,7.0,1,0,0.454545454545
Seattle Seahawks,8.0,6.5,-6.5,0,1,0.545454545455
Jacksonville Jaguars,7.0,5.5,-5.5,0,0,0.636363636364
Oakland Raiders,6.0,5.0,5.0,1,1,0.363636363636
Carolina Panthers,5.0,4.5,-4.5,0,0,0.636363636364
Minnesota Vikings,4.0,3.0,-3.0,0,1,0.727272727273
Tennessee Titans,3.0,3.0,-3.0,0,1,0.545454545455
Los Angeles Rams,2.0,2.5,2.5,1,0,0.636363636364
Los Angeles Chargers,1.0,2.0,-2.0,0,0,0.363636363636
