favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
New England Patriots,16.0,14.0,14.0,1,0,0.875
Cincinnati Bengals,15.0,11.5,11.5,1,1,0.875
New Orleans Saints,14.0,8.0,8.0,1,0,0.5
New York Jets,13.0,7.5,7.5,1,0,0.5
Atlanta Falcons,12.0,7.0,-7.0,0,0,0.75
Denver Broncos,11.0,5.0,-5.0,0,0,0.875
Pittsburgh Steelers,10.0,4.5,4.5,1,0,0.5
San Diego Chargers,9.0,4.0,4.0,1,0,0.25
Buffalo Bills,8.0,3.0,3.0,1,1,0.375
Philadelphia Eagles,7.0,2.5,-2.5,0,1,0.375
Green Bay Packers,6.0,2.5,-2.5,0,0,0.75
New York Giants,5.0,2.5,-2.5,0,0,0.5
Minnesota Vikings,4.0,2.0,2.0,1,0,0.625
