gameWeek,predictTeam,predict_proba,probaGuess,favorite,lineGuess,Line
12,Carolina Panthers,0.916788508751,16.0,Carolina Panthers,1.0,-1.0
12,Arizona Cardinals,0.823838747502,15.0,Arizona Cardinals,16.0,-10.5
12,Cincinnati Bengals,0.7708423409,14.0,Cincinnati Bengals,14.0,9.0
12,Jacksonville Jaguars,0.72160412111,13.0,Jacksonville Jaguars,11.0,4.0
12,Green Bay Packers,0.707899450764,12.0,Green Bay Packers,15.0,9.0
12,Houston Texans,0.692139104062,11.0,Houston Texans,8.0,3.0
12,New York Jets,0.665119915465,10.0,New York Jets,10.0,3.5
12,Oakland Raiders,0.664258630729,9.0,Oakland Raiders,3.0,-2.0
12,New England Patriots,0.63825183552,8.0,New England Patriots,7.0,-3.0
12,Indianapolis Colts,0.598675952811,7.0,Indianapolis Colts,9.0,3.0
12,Detroit Lions,0.592590727157,6.0,Detroit Lions,2.0,1.0
12,Kansas City Chiefs,0.562684249878,5.0,Kansas City Chiefs,13.0,5.5
12,Cleveland Browns,0.550108527311,4.0,Cleveland Browns,6.0,2.5
12,New York Giants,0.543341401358,3.0,New York Giants,5.0,-2.5
12,Seattle Seahawks,0.538609517063,2.0,Seattle Seahawks,12.0,4.0
12,Minnesota Vikings,0.431465799011,1.0,Atlanta Falcons,4.0,2.0
