favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
Kansas City Chiefs,16.0,9.5,9.5,1,0,0.25
Green Bay Packers,15.0,9.0,9.0,1,0,1.0
New England Patriots,14.0,9.0,-9.0,0,0,0.75
Atlanta Falcons,13.0,7.5,7.5,1,0,1.0
New York Giants,12.0,7.0,7.0,1,0,0.5
Baltimore Ravens,11.0,6.5,6.5,1,1,0.25
Denver Broncos,10.0,5.0,-5.0,0,1,1.0
Philadelphia Eagles,9.0,4.5,4.5,1,0,0.25
Houston Texans,8.0,4.0,4.0,1,1,0.25
Cincinnati Bengals,7.0,3.0,3.0,1,0,1.0
Tampa Bay Buccaneers,6.0,3.0,3.0,1,0,0.25
Pittsburgh Steelers,5.0,3.0,-3.0,0,0,0.5
Arizona Cardinals,4.0,2.5,-2.5,0,0,0.75
Buffalo Bills,3.0,2.5,-2.5,0,0,0.5
