favorite,lineGuess,absLine,Line,favoredHomeGame,divisionGame,favoredRecord
St Louis Rams,16.0,8.5,8.5,1,1,0.428571428571
New England Patriots,15.0,8.0,8.0,1,1,0.857142857143
Atlanta Falcons,14.0,7.0,7.0,1,1,0.857142857143
Carolina Panthers,13.0,7.0,7.0,1,0,0.857142857143
Seattle Seahawks,12.0,6.0,-6.0,0,0,0.428571428571
Kansas City Chiefs,11.0,5.0,5.0,1,0,0.285714285714
Arizona Cardinals,10.0,5.0,-5.0,0,0,0.714285714286
Houston Texans,9.0,3.5,3.5,1,1,0.285714285714
New Orleans Saints,8.0,3.0,3.0,1,0,0.428571428571
Baltimore Ravens,7.0,3.0,3.0,1,0,0.142857142857
Green Bay Packers,6.0,3.0,-3.0,0,0,0.857142857143
New York Jets,5.0,2.0,-2.0,0,0,0.571428571429
Minnesota Vikings,4.0,1.0,-1.0,0,1,0.571428571429
Pittsburgh Steelers,3.0,0.1,0.1,1,1,0.571428571429
